XGL -> DVU,NVR,IIT,DF,CHH
FFL -> XOE,XLT,QLB,SW,YPE
XCF -> UQS,EJC,ZMX,MIC,ODD
XOJ -> RBQ,WCW,IDS,RVM,TVJ
ELM -> XIZ,SRN,PEB,IMW,ISP
WTS -> YXM,KDM,VOF,WEW,BPP
QCX -> WJQ,MME,ZMC,QHI,UBZ
HCO -> SEE,WZL,VEM,AQW,PNM
RBE -> XMS,YEA,GXV,GXC,CVW
IZD -> AAW,BSJ,XIY,XND,RVS
YSO -> UFL,AWI,RAZ,VIU,LFR
MJX -> TUG,BUP,ABV,EBS,GBT
AVP -> LER,LGM,BBY,YYY,FBC
ZWO -> PPH,ZBU,TNP,QRE,PWD
TLD -> FLD,WRU,ANW,RSG,NBS
YKA -> KWC,YXS,LKZ,PKA,YIH
IDL -> FCC,RDC,LZI,CWU,DBV
MYP -> SPB,CTT,NIZ,FYG,IAF
TWO -> HDD,IKK,FKC,OOC,QJH
TVG -> KVF,MKL,NMI,ANX,UKZ
ECF -> HPM,DAA,LAF,DGN,ILR
BBY -> IBT,BMR,LCB,TWY,ZJD
PHG -> FSO,XIB,RZK,RLO,MAT
VZ  -> SSV,CHH,XEA,QEO,ZEW
RSM -> BIN,RZJ,YBO,DS,PDN
DLR -> SUF,QNZ,NHJ,ZQN,KDA
RXR -> IXQ,XQY,OVY,HQQ,XEU
OTA -> GOV,BFO,AXE,BJZ,ACS
VHC -> NII,PAV,YWA,YEL,IMX
YSG -> WXK,YBE,ZEY,SML,ITI
CGR -> BWC,FPL,QLJ,NVU,UGT
LSQ -> AEN,PHY,CSG,GMH,EB
HFH -> INT,DWV,LML,NKF,QJB
VVO -> QMH,WKA,DDY,IHI,YIX
OJY -> JC,WMI,ELC,GAW,NZI
APB -> ZLM,DBY,GWF,IAU,DUS
FYW -> ZWG,XZA,SPT,YUZ,EEC
IP  -> BKT,SRU,CSQ,LVW,QTI
BVZ -> FMS,YCM,DIY,BTN,GLY
OIZ -> XDF,GOZ,BYN,ZDA,QFR
JNI -> SEH,CQY,RUB,JUP,IWW
KWE -> JIU,SDI,GBM,YAJ,QJV
ZFS -> MUD,ZXS,HVB,JXP,NQX
ZGX -> SN,WDR,PVK,OMU,KGK
SBI -> VUB,YSL,SMD,WTY,TCM
SGK -> XVH,PIL,ROW,LUD,EKO
OCL -> YKF,BXV,UXC,DSJ,MRB
EHP -> JWM,HKK,VQK,REV,NCW
YOD -> RZR,OER,LKD,YJX,OFH
GFA -> ULJ,ZIX,HBU,MOK,ACS
ZGK -> FKD,ORM,VJB,AIT,ODF
OET -> EMQ,VPA,YHV,XBG,TCM
UYH -> WRE,PF,VDN,RVA,KVU
TMQ -> BTO,GDO,UXA,MGA,ZBN
LGO -> AJA,RJK,HXY,IGV,VKZ
SLV -> XCS,UFL,QKS,CG,JCF
CJJ -> BAE,QMB,RXM,WFF,PYC
JGU -> AWN,IPJ,DOF,PYN,PRO
TPR -> NUP,ZIO,JLD,ID,EHP
BJE -> GDP,HWT,VXO,MPK,GBK
MLO -> UAQ,LJ,WOK,OWY,YQN
SBT -> JZI,MKD,WHE,ESS,LNF
HYF -> LPP,QLZ,FRG,VGN,BHQ
XPR -> MKV,RQA,HEP,TLC,UUR
FAB -> UDQ,IXS,ACU,XIA,RTO
TIY -> URL,CPR,HKZ,JUR,PIV
LXY -> QKL,GWN,ZGK,TQU,RLC
ZPB -> WFG,OAQ,QYT,MAC,ORF
BFW -> IJT,KIN,AVH,FZJ,SRZ
ISZ -> IFR,VVZ,QJT,RLA,YIQ
CSB -> PUU,TV,QBN,GNF,ATN
HRF -> VXK,YWY,SUW,LLF,GTP
FUM -> CRE,TH,OGE,NBG,RHK
ERI -> IRY,DMQ,EDO,YKN,YBC
YNL -> APT,RTH,EAM,LIM,PHZ
IR  -> LUD,RLY,HJO,PPT,VNE
DON -> MUB,DJR,CAR,WZG,OXD
LLQ -> JGU,BRX,DSI,MIX,JTD
WCS -> DVE,RVL,MTL,ROX,MFJ
BSS -> MTA,KFR,RWD,HGU,ZRD
LTK -> BU,IHJ,AWA,DVJ,TIB
XRQ -> XZT,GTT,EFU,CUA,WZT
VAM -> PFF,ZNW,XPZ,XUE,WSJ
CXT -> TML,VNK,DBP,IIU,ONN
AXQ -> PLK,YWC,FVS,THJ,QUP
IRJ -> FEW,ZQO,TZV,LUO,GXX
PFZ -> VOX,YKY,XD,AJI,DGG
OCD -> UNO,VDB,VKI,MUB,YAR
CYU -> GMU,CYY,QAJ,VCJ,QBR
ONS -> EY,ON,HJP,MQG,FAI
NAC -> FDF,VFY,MWP,HJM,QWX
XEB -> GQL,FDK,CUL,CFK,EJL
IXN -> AVH,BVZ,CHU,QFE,OGH
FBV -> GTG,YVM,IMB,BKO,TAA
SPC -> SQ,DGI,CEE,IYC,MNL
LKM -> LYF,GXY,HQP,LNB,BQF
LZF -> TQW,VKQ,NXO,MKD,BZS
HXZ -> CHQ,VFZ,PUC,DWW,BIJ
QGS -> SWF,JEW,HKA,JTV,CCO
TDL -> UCL,QFE,ZIZ,UVU,FGQ
VWF -> KDV,NXK,MTR,TRN,QOX
TWM -> FOB,RPE,BEU,SGR,JTC
QNV -> LLT,RTA,FAZ,OPC,EDO
FOB -> JMX,ZRM,EBM,STV,VUA
OBI -> XSK,OGH,ZLJ,XDZ,XCK
JMO -> IXM,IWR,QFC,NWM,LZF
AZT -> JDS,APP,DAE,WFK,RNN
KEP -> IQL,RFX,WIE,PRA,JYW
FM  -> OJX,WQY,LCP,KGC,NPQ
IMW -> XDY,XBL,FFG,ESF,FIV
JZV -> WMD,EGZ,XUM,YWX,GZT
KDC -> ENP,VFV,YTH,XFL,FIV
XFM -> TGF,XBB,LNB,EJU,ULA
FXA -> YIP,FTM,GCX,ZWY,CUZ
IIN -> IQY,GDD,MYP,JAR,DSG
MTZ -> QPW,KLW,LAQ,EZS,KNZ
SDQ -> ZLB,GZE,JGS,KGN,GDM
PHB -> H,PMW,GOA,HOV,UPS
LVT -> SLP,VDX,DNT,AYI,XLM
ORS -> DCW,CSE,EYV,MSB,WZR
OVS -> ZKH,VPP,EKT,QFX,RTB
WGG -> OIW,VVR,HAO,KUJ,WJP
LFD -> SHG,FLI,GGS,QDW,ZAB
OYZ -> VJW,XMA,UOB,AFW,KXD
NFY -> FER,YLW,CRH,UCI,GJA
HYM -> VYX,AXM,WWZ,UEX,XBW
ALQ -> ZBK,CBC,RFL,VES,SZS
AOP -> PJR,DPX,CIV,CHS,PFF
YGD -> GTF,ASC,HHE,GEK,DFU
DKI -> HLW,QAQ,JRP,JPF,TCY
NUI -> NPY,DDO,GLI,WOH,JVF
FGG -> CUV,XZA,PVL,YYW,HLL
TZR -> PXQ,DPT,MPX,BRG,ILU
VTJ -> QGP,OGL,GTC,AYJ,ZDG
GNC -> RWS,JYO,NWS,IMH,FKN
TJW -> FTS,IDE,NK,XIP,NC
PIG -> WIC,RTD,HMC,FIC,UGA
NQI -> NWB,CGS,BGM,RVH,GAO
VWN -> OVM,CID,YQN,SPR,MQM
MDC -> YMA,LBA,ARB,RCX,VFZ
MIO -> KIY,IFR,XZZ,GNR,BXW
GRG -> MLZ,HBS,CHP,HLX,WUF
FAW -> XNF,BCI,YQC,WKA,DMU
BDD -> IDF,IFU,UPG,LSV,IIJ
JNZ -> LMG,KEZ,HRZ,LRI,VCG
PVF -> JZO,IDR,FQM,GVO,TGM
TRQ -> RES,SZK,DTR,OCA,RAD
ZXH -> PZJ,FYL,JKK,EAJ,OXQ
ZAF -> VHC,ZJM,OBG,ICA,ATF
FSB -> SWZ,NFS,TQH,BSF,PNR
RFM -> RZL,QXB,CSY,ADI,BLF
RPV -> UEW,WM,GIF,KYF,DET
EZF -> RMS,VDR,DPT,OLD,RTD
TDV -> GZO,PGW,GPV,CGN,OYB
COS -> SYY,SZD,GUP,DGK,BYA
IGU -> XXS,NFU,KBJ,QDY,HP
SGI -> KUS,KVT,LVV,HWP,MJX
OLD -> HOB,BSM,GZE,NCT,THO
BIX -> TUZ,NKL,YQZ,NXT,OEW
ZMR -> ALY,RQS,ATW,XFE,PDP
RUN -> PBZ,TCQ,WQH,FHD,KOI
BVL -> IQY,QGE,HNZ,QFR,NBX
WZL -> SOB,EQH,IVR,TJA,OVX
AMP -> URM,MQI,XWT,BGN,TLO
QDO -> LIM,AKC,QKD,DYN,UTS
QWB -> FPZ,RZO,ITT,ULQ,IUR
SEI -> DUC,UBT,RED,PFH,AZO
VKJ -> GZG,TXP,IPE,TQY,VPW
ZOF -> MUF,BCI,XKB,CCR,XKR
NOY -> HPL,GYC,KJR,QES,ALK
GWG -> VKD,ASA,NQZ,HKW,AHZ
OGJ -> SQW,YIN,OZX,UJK,RJT
AUI -> RVX,BDM,SJN,CZC,BGC
UFE -> IYE,ISI,WXT,TFM,CEO
XWI -> OOY,LDR,MNG,BPZ,FUW
JUU -> NBA,DWA,FRG,YJW,KH
SIC -> TAJ,OFA,GDD,WHW,OWN
SCI -> TAG,JCV,ODA,OVS,SE
TNQ -> DMY,VNL,IYK,MXN,SPP
ZGB -> KJH,TPF,IHY,PEJ,JIB
MSB -> COT,HXK,HTM,UZQ,EYC
ULQ -> QBN,GSO,SNR,GFL,DXU
JTU -> MEI,JFZ,USV,GYM,HDT
UIY -> KYU,MCG,GEA,QCS,WKA
CUZ -> MIA,SVA,YHJ,BDP,PXX
CCW -> CRA,AUK,XNL,VJO,IHQ
JGT -> WDQ,COM,THO,DKM,JAK
CBI -> ISG,BUB,HCB,ZTP,TAO
HPH -> IQN,TAF,ULQ,QJS,TMW
BJW -> SEP,DAR,IIZ,CME,ZVB
UNX -> MSA,OQO,FJR,JUL,EGH
LNX -> RDJ,RU,JRI,AVX,PBA
LSJ -> GWQ,WMG,MUN,FKU,UEF
KRE -> MWE,WFX,GJ,CUB,TCL
CUI -> URP,URI,BOR,YIC,YCL
DPO -> ZVO,HDH,QL,QVR,OWT
LRK -> ZSA,ZOS,LXC,FBL,JOC
OJN -> LEM,THY,YAO,ZTX,GWF
WSB -> SNB,BWR,RAR,JLQ,QGR
VOR -> XCE,YKP,MRB,VNY,EOL
PGG -> IFV,EXU,FLS,PYG,GLO
PYW -> YTW,HOP,PST,JIJ,RUC
DMW -> EBE,ONR,XWB,VOR,MCK
OLY -> SDF,YYH,HDA,UZK,BLA
COA -> AGB,UYA,IDS,EQG,VHU
PBY -> RQZ,EYQ,YJX,MRV,CMG
WES -> TAN,RUG,JTT,WOF,WDO
DMO -> OLF,HLI,UAQ,ETE,DYD
JPT -> KQI,OD,BYI,AZC,VKE
BYX -> HBG,CHD,WES,ZYJ,YMB
ZTJ -> XEI,KIO,EFJ,NNC,QEP
XNM -> OZS,XYF,FXW,EUA,VGU
FEE -> IYU,ZAX,LVU,VYO,ZSI
HAJ -> RNB,EYI,FAX,SKT,KFZ
TCD -> UEL,XPU,VCI,IZY,QEP
JPS -> VDQ,NPU,GXS,HSS,MBX
KCN -> DJK,IOY,MBS,FBY,RAU
EFG -> RUH,NZH,CFU,YRY,LEV
RMC -> JTN,ETP,JNP,VDH,CSE
MLT -> IKV,LEM,DGQ,DQT,VTG
DRC -> HVQ,BNG,WTR,VA,ZZB
VSY -> CTX,HJM,JMM,WXR,GTU
TZA -> KER,GLU,ASY,CR,CWA
CKM -> UBC,HBM,ZPU,MFL,MVA
JFB -> NOH,YXL,BWT,QYN,OXQ
ERO -> YGF,NZJ,ONS,CSR,GEA
ZPL -> QDF,ULL,TVK,MXW,KFK
KNB -> SIJ,KAP,OJE,WXK,YBO
AKV -> IR,IGQ,RPW,DYM,JGS
MFV -> QNS,CFB,DZH,VLI,EKG
EYJ -> WDZ,TAT,FJI,QEU,YGL
KDJ -> USN,LF,KMD,RQM,DCS
ZMN -> GYC,SFZ,VJR,KXM,RU
WKJ -> EBH,XKO,BVP,WFE,OVR
POD -> DLA,NND,AAJ,TTC,JGL
IRD -> NNR,PIA,EIP,LQW,PFA
TAC -> WQV,MIL,WAH,JDS,WZN
BN  -> PKU,DMB,IVL,YFL,DKI
FZH -> BYC,KJX,CKO,IJU,DAO
EHF -> HHB,DIR,BLD,LZL,GMK
XYZ -> QCL,SZL,OPJ,OXM,XS
OJC -> WEH,UZG,HQK,BHU,SKT
CDA -> ZOI,VHG,EXS,QTH,GHP
FPA -> PDO,UHZ,CW,SMC,RHR
SBB -> QKP,VAO,UHG,YEL,AQL
AGO -> DXF,JSL,VOK,HLI,OHL
FGZ -> HNH,EGR,GTG,YUJ,OMQ
MKM -> WLH,UZC,WLX,OST,NSY
TON -> DNQ,HF,ZSY,YDD,JTC
VJY -> SC,LYO,UPG,HEX,QXA
VHA -> TTH,XAT,FEU,ZZF,ITE
OUC -> OLM,PHS,HVZ,PKL,UGS
UBE -> IJM,CSO,SUW,BLL,JBC
UXD -> TAP,SZF,VKU,DZD,FQE
JRF -> KJ,QFM,LAS,CFB,RA
WHX -> QMH,YTR,ELY,PLL,PSI
ZMF -> UKZ,BWN,CAX,BJJ,MZS
WKW -> HTJ,FOE,VDI,DBN,YNW
AWZ -> LHE,TYV,OIC,NES,HOH
JTZ -> UUS,VCL,XW,BKI,KHN
FVD -> GSE,ISU,NNP,GMA,SJY
CKT -> DUB,XFM,KAD,NTI,JJA
WMZ -> WDW,AJG,DZ,PEI,EMX
MXD -> FWD,DZU,EWO,OUU,VNX
LEZ -> XUT,DCK,YKS,RNV,OPS
BIK -> XND,NZO,QOL,TRK,OKP
RKR -> MCV,ZLC,DWR,EHK,WNV
XDS -> ROF,DZZ,KIY,NER,GGJ
SBG -> DFI,BDM,NV,QUZ,FHL
ESI -> ERY,LVE,JZJ,PLG,GZX
GBV -> MDI,WEO,VHI,XCR,REO
TLO -> DLN,RWT,TWG,PUO,UZW
OHS -> JQJ,IOM,ZJU,WYX,ANO
TJC -> BNY,KTY,PPO,KHK,ZFV
NKK -> XMV,CXS,ZIL,TKJ,RE
XFL -> KWV,GHU,TNN,GWU,MTZ
CXY -> PIX,UXT,EBK,LVL,TAV
PZO -> XSP,GZG,BEL,ZFB,MI
UFH -> MGL,LBT,CZK,MHN,DGG
RWD -> RBG,WMZ,GPI,YGG,UAK
SUK -> DHO,YZG,XBQ,SEB,SHT
BCT -> YMA,EOJ,URL,AZL,SAQ
IYW -> QBY,YGL,KUP,SKA,UFM
JVU -> A,AGR,YVO,FEY,MHC
MOK -> WTR,JSB,IVX,TON,CHM
ADJ -> CQI,ERR,HKH,AZV,EIF
RJL -> VWM,NTZ,PPX,GF,CAE
DEP -> AWQ,RWV,DSS,XCV,YJQ
BBF -> WLF,ITQ,HDI,CSO,XDA
GLF -> JJO,UTZ,GPM,UXK,YAG
CA  -> REW,TCW,TQR,QNH,VVU
OHJ -> YRT,G,MSE,IAR,OKO
ETS -> UJN,LOC,JXX,DTB,DFU
FTK -> QKU,QIW,OZN,VDS,UBJ
VPU -> HMU,FWL,NUE,QBK,MPU
GJU -> LGJ,XPA,ARC,TIG,JJM
KSD -> LMT,VKD,WGR,PHL,ABR
GNO -> HZL,GCN,KPM,GVJ,CEW
PF  -> CKC,VNQ,WBH,SOE,SDB
ISM -> XFI,ZKQ,BQQ,VWN,LZB
RMT -> RJP,KDN,UKJ,JJW,VWF
DNK -> SWE,AZN,TDX,NON,KGI
MTJ -> ZTE,PMA,IMR,DSJ,GWN
JS  -> TDU,VP,MOW,YOD,FXZ
NPM -> XNO,NMJ,PGB,HOM,BWC
JDN -> JYY,PYD,QBV,IAL,LMP
WFY -> IUR,XXW,NNS,WVD,GKG
HTW -> MRG,VMW,KJH,ZJA,SNT
GCW -> MTG,ZSN,QTF,KQK,MTK
LZQ -> CDY,LRF,PHF,RRF,JBZ
VXU -> BZO,DLU,JVP,XGF,VTY
YFY -> REA,AAQ,YTA,PTZ,LVO
CXJ -> EAU,AQI,BAJ,HJF,TOU
HFY -> FHQ,IJJ,YCM,VYB,TLM
PJE -> DCJ,QGY,ZTT,WML,UDU
EVU -> BIV,MXU,LSM,KHO,WUE
OXB -> FII,DBX,FPD,SUK,VLZ
SPP -> PCW,ZRC,TQN,HWQ,OAE
GNN -> LQQ,AVZ,EHV,HMH,JU
YYG -> XPL,EZX,VHQ,WOY,SFU
ZRH -> TA,LMH,LYA,DEO,TRV
ZPE -> QOR,GKA,KDF,OOC,WXC
ATA -> GNU,MPB,WRW,SHE,DCA
JL  -> XDS,FZF,RLP,DDZ,NMB
SPF -> PBC,FLC,WZT,ZBW,JBK
KYG -> FMS,YWK,XVZ,LUJ,PGT
GJA -> CTD,ZHT,BOU,GEA,OJZ
KKQ -> TLH,WEP,EKN,XNU,XTA
MZF -> WOV,NAH,DOS,PFY,INA
SYG -> IFO,BJI,BHJ,IO,SFR
BAS -> RRL,MVG,FRF,JSB,KBH
FD  -> KDM,DPD,UWO,AKW,HUV
VKW -> BEJ,ONT,LVQ,XOH,TV
JNX -> RJF,XIS,AQY,DUZ,ONO
IUB -> QNA,OHZ,DPJ,TNM,KLV
XCH -> JTK,TWL,ZJP,NNS,UBU
GR  -> ZLW,KLI,FZB,HZL,IGJ
NTB -> CCE,DSO,SBX,DLM,EXY
UXC -> GVL,JFY,SVR,WPK,EKS
YWZ -> SNM,WFY,IGK,ZTZ,SSG
AXV -> CWF,D,TPS,UQQ,FOL
ONL -> UER,PEB,JGF,HAT,YAW
TEU -> DTL,AEA,JTP,LOJ,GCA
JXZ -> YWI,AVI,XF,MAV,UJQ
KZF -> PSE,TXN,LJH,YLJ,ZAG
FYG -> HMR,YAK,XPV,HRD,XWP
ULN -> BRX,FAH,YWJ,EMU,MEG
AIY -> SNW,NKJ,TLD,IVI,ATE
HZZ -> NLJ,WWC,JLG,FXE,OTR
DYU -> NDT,IPJ,PI,XRV,OWQ
BXC -> IXS,YYG,OOP,ZQJ,ZIK
YPP -> AUI,CWE,YYA,YHU,VBD
UEN -> GSY,PFB,UKD,ATW,OPR
ZBB -> LYI,FOO,EWC,QFH,QJV
KXB -> QHR,DUE,CBT,PDX,XGS
CYC -> WKX,YOW,ZMI,MIK,RHO
SSG -> ISO,LC,IXJ,VTC,JCL
JLL -> KNY,BNB,FNR,JFY,HGK
BNS -> HQD,ARH,UGJ,ERU,NCL
UKU -> NMO,XPC,JNL,RVE,ORW
PQZ -> SEF,WFC,OJI,AOY,ZLT
DYT -> PQG,NMW,NVS,PNO,CYH
QMC -> SPL,DTN,ZUJ,BLH,HBA
HFV -> TDD,CSL,ZBK,VOJ,QXA
YEA -> BSL,GJ,WS,IUX,EBQ
LEU -> XFF,TXI,LYP,ZHY,VGY
ZAG -> IHS,XLA,IYU,HRS,ELD
GLI -> YCP,ZEV,VAU,ISF,MHD
ZHY -> DMW,ROR,CDL,CLS,MN
XOV -> HCD,XVG,VCK,QAJ,MN
GW  -> GZI,SDD,VMQ,VT,FFN
EKZ -> BMK,OQF,CHW,WBO,SCQ
MZK -> PKO,LUN,JHL,XOS,HQG
ZQ  -> CGG,QCB,BAZ,UHA,Y
RLL -> LPV,EBX,BRM,FFB,JGO
JQP -> DLA,LQU,NGZ,JGD,MHU
EVN -> FON,LBI,APX,FDZ,SLL
NKY -> NAO,EFA,TOI,UKS,DKB
NFK -> FNE,FWG,OFJ,DQV,NEH
RZA -> VVD,AHZ,NEI,FTY,UCI
VJL -> PSN,TEV,NJK,UKY,UMV
EFY -> NXC,HRT,INL,MTB,ZYG
EPF -> CKR,PNM,JLV,ZUL,CMS
EXV -> FVI,WAS,ZWN,TRM,JOZ
JRS -> YSM,VAA,WVQ,DKQ,QVE
FEF -> VSP,EFL,GQH,UFM,TCA
HKK -> BSN,QDC,OHV,URQ,WSP
IPE -> IBZ,QX,VPL,TON,QF
KCH -> FNU,WQP,HPK,TFP,QDR
GQK -> YDT,TFI,IIL,LWB,TES
DCJ -> OVW,WIC,FCA,OWV,TJK
KCB -> YIE,MYL,ZNA,AZW,SKB
EHW -> EJM,NSS,NMU,VCU,DGC
EXM -> BFS,YFV,ZTD,UQP,PHN
XBI -> VKG,OIR,XHC,XCL,PCK
EIK -> SOZ,CBF,PKH,EZG,BWC
IAK -> MFQ,HBK,UAI,YCU,BCS
TJS -> MOS,HTE,GLM,UZU,LLT
YYM -> OJL,WOW,GHY,XAC,LQM
UOP -> KUX,LQB,SLK,NEQ,QCH
ICZ -> ERH,BRI,THR,PFN,IUM
LCZ -> QH,FJH,REX,PYR,UNN
YFN -> LZX,OT,TVH,MLY,KCR
VTP -> DCG,QKK,NMH,WFR,WRJ
LLO -> TPH,OZU,PNN,SNV,SQJ
OMM -> KY,YOU,TNV,AZL,ZGY
OYX -> QMH,YPF,STU,REA,IOY
HUV -> RDK,SZX,ZNA,AUJ,YZM
CIB -> IGI,QIV,PUX,JDZ,EDH
WWM -> ALR,KYB,COW,NQF,CLO
NQJ -> MUZ,XGF,UIP,GDW,TJP
PCA -> BEY,ZRD,QVS,ILP,BGR
YOK -> WUP,ISD,LKX,BII,MOB
UOX -> WBV,YHH,FUD,JAO,BTS
XZD -> BOD,EJP,OHL,PNM,MCC
JAS -> RAE,OV,SVS,WZG,YWP
XEF -> OIU,LXT,BMW,SLZ,QEX
LQC -> RNY,HCB,KHL,MHM,FKV
UPJ -> RNE,ITS,KPY,PUB,CJH
NC  -> MUT,IXQ,NLX,FNG,XI
LPG -> IDY,XLL,PCX,JBG,KHH
OOJ -> AAQ,NOF,PPT,OEE,BTF
LTH -> OUH,QNJ,UOA,DMJ,VQO
UDY -> IJL,JFN,VGD,AKO,YZV
UVN -> CLH,XPB,RCB,FXB,BPB
UQH -> PPW,RGO,LNW,IUR,YNW
LCG -> JDB,KQO,GJH,SZO,GOB
JYO -> RSR,QMP,HTT,WNA,IQF
KJV -> WSC,OFP,MTT,PZK,MVF
IVG -> PG,RPZ,KVB,AEO,MZX
XBO -> YJN,XSR,OY,NJP,LZN
JF  -> NPK,DYK,UEX,RPZ,OCZ
SUW -> MPB,XNO,BUS,IAV,YUQ
TIL -> CYP,CVB,DAK,EFY,UWH
LPU -> YRS,FS,YSJ,EIM,GZP
MDA -> ANV,HEP,OKW,UIT,COI
HXY -> IFZ,MPT,FPF,SVP,TYK
FIJ -> WTN,JWQ,JXB,EZM,ICL
YZM -> ADN,IKY,QQF,QYV,BVO
IPP -> OM,PYM,KSV,OHS,NXX
RWI -> SBC,NHR,ZQJ,YLX,NMI
YXX -> JVJ,JGS,JQY,FWD,TNF
XKI -> QVL,XKR,ELZ,CUY,NTI
MNZ -> HR,TOM,STD,QYU,DZZ
JPF -> VEK,LEK,BJB,LVL,VPZ
JCA -> AZJ,EGF,JEH,COA,PAS
KXO -> BDG,ZMP,FCB,THI,TZI
TRX -> HIV,NOP,ELB,GEK,EBP
TXC -> WRK,MRL,LCO,UKH,PUN
PXS -> JHN,RAW,WUD,ROM,AGE
ZXE -> REE,TQI,TN,NFB,JJA
UHI -> NNN,ZYZ,RKO,DDR,HLF
DBK -> ABA,ZTO,RXZ,BIX,MXL
ZLS -> GZV,FOM,GCQ,WIS,JEE
LAM -> NVI,FIO,PWU,UIS,RZM
ZWB -> PUU,FRF,NBQ,TYM,EEY
KRL -> IIJ,KQJ,MJ,ZCI,AUN
IZG -> MNL,GQY,ZNW,LVG,KIZ
HZP -> QTI,GRR,TWB,TZU,LQK
YZR -> ZSI,BND,WZJ,HOZ,QSW
XCL -> APH,VME,LLS,IDK,VYA
PLU -> LEX,CFG,RSM,SGW,QEV
AAO -> DNG,AQI,TIB,VDV,MWY
UOB -> XMQ,IUD,EQR,BIC,GYE
OTZ -> LI,QAF,WAO,QLJ,DHH
ANR -> UQD,AVK,SWJ,UPR,IUM
VDP -> SAQ,GZW,UFU,ISE,YUK
JNB -> WEH,HFE,HSM,ULF,DBO
MFE -> JMH,SYE,BQK,ZRU,UTW
SFP -> GLB,MBI,LHN,HRR,OGP
BBV -> SRR,LOA,CBP,THX,THB
YHO -> XWI,AIE,CAR,UZG,OSW
QCU -> ZGV,WCS,HQG,LCL,HXM
OZZ -> CRC,OME,QAT,CIC,JIR
YAE -> XIL,RLH,DHY,JTM,OYO
FVN -> YYC,ABA,MYW,IIY,LYC
ETN -> FCY,SDJ,YSG,RQP,NKP
YCQ -> YOP,OMS,IKG,LPN,QJM
NGD -> STC,GZN,HXY,FKD,WSG
HIC -> ZRI,JCN,TGN,RBF,HXV
SEJ -> FFL,SZZ,ETV,DOX,ZPM
RUF -> CYZ,FQD,CAF,ZJR,TRT
ZSL -> PDL,FLQ,ADI,DNA,DQU
SCU -> MLO,AYP,DRL,AXG,VRI
TAY -> MHG,OKU,ZAI,JEF,LPI
DZR -> FS,WZC,BCY,FB,ABH
NEO -> IXG,BUF,KOO,VJC,GFS
ORO -> VLW,ODW,GOX,GNI,YUY
AKU -> XEC,ERX,ZIW,QNL,MVE
YF  -> TDX,AQJ,ORQ,ROD,MJZ
IQU -> IEX,XIM,TGT,PXA,KZJ
EOY -> UKN,RFY,LVK,KMN,OM
TZG -> AJW,AFS,OTT,OIH,UBQ
MCI -> YCR,FLZ,GTT,CPQ,PEU
UFF -> EBW,UZY,ATI,RKG,IUV
FOD -> YQB,OUY,WL,VZ,JPG
JTY -> WWL,ICZ,YKD,EZA,NKK
NLE -> FLM,OTS,FVU,TNT,IMB
YMZ -> UNT,LBN,HO,NLG,KPM
TIF -> KAC,RJV,QAU,VJM,GGN
KB  -> NEX,OYW,PF,LDW,GEJ
TYH -> SUK,NYR,ODU,IKA,BCC
HMO -> OCL,PAG,HZM,PEG,RFU
GAW -> LYD,EUH,WDZ,LOZ,ABE
EYZ -> HGN,TXC,YH,EI,XWV
QDV -> WWJ,CYO,XGO,NYU,RFY
VPX -> KBZ,BVH,STX,CBE,ZKC
RZQ -> DMZ,IWK,TOH,CES,CBY
VLZ -> GBS,LQT,QBJ,XYR,PFQ
EBE -> EQI,VOH,IMA,YKM,CIZ
PQD -> DZT,QGJ,KUB,EQN,UBR
VJT -> ND,HAE,LOF,PPV,RYL
FBP -> HHM,BYI,EOZ,RSE,TEJ
MEH -> BXH,CFH,MSV,RZU,UNL
UTM -> EOX,PKI,ZHI,LKG,ULF
BUQ -> EXI,LEW,OYH,LKQ,IKJ
TZM -> SSB,VPC,VQF,HGM,FRT
ZGM -> FVE,DBI,PTH,RGF,XMB
NDK -> WUS,WWA,YTK,FTB,OLU
RXW -> SID,ZRK,NEA,DK,AFN
FKG -> DZK,NHM,RNG,KMW,ZYP
KUQ -> RNL,CBO,SAX,AOZ,VBN
ATD -> GYU,PCL,DQM,KFT,GKL
CZQ -> XZO,KBM,WRO,XVU,MOR
GFC -> YPV,XNU,VSX,IUV,ULJ
CNW -> UEN,IRL,CJD,IBS,NEZ
POC -> VGH,WYB,LUU,TVA,LLN
XKA -> HRH,PGB,QTT,RXY,PBN
JRB -> NSM,DVU,LQA,PEV,SMD
PZC -> XTJ,KQD,UWT,QNO,BGT
HFT -> PPK,KLG,ZBE,QMO,URE
RST -> VUB,RFP,DND,KSO,GTS
ZJK -> NYO,DAK,ZXG,NEQ,HAU
PZF -> HUL,JC,NET,PNJ,CYG
HMJ -> VLD,QHR,WRI,BOC,HHB
YNR -> XIG,EUT,NQL,GKT,LIV
DAO -> LQY,UIZ,LNN,QL,PKA
RZR -> GTX,PRF,KMB,HOC,KTB
KUX -> YXB,VIX,ZEP,RWO,QAP
RME -> MBB,RYW,TFU,MAW,KHH
BFA -> RRV,LTX,KPS,BDA,UBA
CHF -> LAM,WMY,EMN,CU,OY
QZL -> KBC,PPN,XGE,VUD,CIR
OGA -> SL,JSO,QEK,BLR,OMA
ZDR -> OYV,WJO,JYD,ZLD,DFV
IUE -> PIL,KP,TGY,CTE,NDC
TLW -> BCD,SUO,DTW,BJ,PTV
EII -> UAS,SXR,PES,WVG,JCX
